product,deployed_asset,local_filename,manufacturer_product_page,source_type,reuse_basis,permission_status,verification_date,width,height,file_size_bytes,alt_text,notes
Shark FlexBreeze Portable Fan FA220UK,https://assets.sharkninja.com/image/upload/dpr_1.0%2Cf_auto%2Cq_60/v1/EMEA/PDP%20Imagery/FA220UK/Shark-FA220UK-InUse-Field-Picnic-Couple1?_i=AH,,https://www.sharkninja.co.uk/shark-flexbreeze-portable-fan-fa220uk/FA220UK.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Shark FlexBreeze Portable Fan FA220UK product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
MeacoFan 1056 Air Circulator,/images/products/meacofan-1056-air-circulator.webp,meacofan-1056-air-circulator.webp,https://www.meaco.com/products/meacofan-1056-air-circulator-with-storage-bag,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,659,614,31674,MeacoFan 1056 Air Circulator product image,Local optimised WebP; exact/current product match checked against the source register.
Duux Whisper Flex 2,/images/products/duux-whisper-flex-2.webp,duux-whisper-flex-2.webp,https://duux.co.uk/product/whisper-flex-2-fan-black/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,89580,Duux Whisper Flex 2 product image,Local optimised WebP; exact/current product match checked against the source register.
Wolf-Garten Multi-Change System,/images/products/wolf-garten-multi-change-system.webp,wolf-garten-multi-change-system.webp,https://www.wolfgarten-tools.co.uk/collections/multi-change-system,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1194,1194,478826,Wolf-Garten Multi-Change System product image,Local optimised WebP; exact/current product match checked against the source register.
Fiskars X-series PowerGear P961 Bypass Pruner,/images/product-illustrations/garden-tools-2.svg,garden-tools-2.svg,https://cuix-prod.fiskars.com/en-gb/gardening/products/pruners/x-series-bypass-pruner-l-p961-1057175,Existing neutral category illustration — temporary,No unrelated product photograph substituted where an exact manufacturer asset could not be safely materialised.,Site-owned existing asset,2026-08-18,,,,Fiskars X-series PowerGear P961 Bypass Pruner product image,Replace with exact manufacturer product photography. This is deliberately labelled on-page.
STIHL FSA 50 Cordless Grass Trimmer,/images/products/stihl-fsa-50-cordless-grass-trimmer.webp,stihl-fsa-50-cordless-grass-trimmer.webp,https://www.stihl.co.uk/en/p/brushcutters-grass-trimmers-clearing-saws-fsa-50-cordless-grass-trimmer-ak-system-215226,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,933,1400,19492,STIHL FSA 50 Cordless Grass Trimmer product image,Local optimised WebP; exact/current product match checked against the source register.
Dimplex EvoRad 2kW Oil Free Radiator,/images/products/dimplex-evorad-2kw-oil-free-radiator.webp,dimplex-evorad-2kw-oil-free-radiator.webp,https://www.dimplex.co.uk/evo2bta-evorad-oil-free-radiator,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,504,831,12108,Dimplex EvoRad 2kW Oil Free Radiator product image,Local optimised WebP; exact/current product match checked against the source register.
Dreo Heater 316,/images/products/dreo-heater-316.webp,dreo-heater-316.webp,https://uk.dreo.com/products/heater-316,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1080,1080,86864,Dreo Heater 316 product image,Local optimised WebP; exact/current product match checked against the source register.
Dyson Hot+Cool Jet Focus AM09,"https://dyson-h.assetsadobe2.com/is/image//content/dam/dyson/products/fans-and-heaters/hot-and-cool/variant/am09-whitenickel/fans-heaters-dyson-hot-and-cool-panel1.jpg?$responsive$&cropPathE=mobile&fit=stretch,1&wid=640",,https://www.dyson.co.uk/fans-and-heaters/hot-cool/white-nickel,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Dyson Hot+Cool Jet Focus AM09 product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Yogamatters Organic Cotton Yoga Blanket,/images/products/yogamatters-organic-cotton-yoga-blanket.webp,yogamatters-organic-cotton-yoga-blanket.webp,https://www.yogamatters.com/products/yogamatters-organic-cotton-blanket,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1050,1400,117344,Yogamatters Organic Cotton Yoga Blanket product image,Local optimised WebP; exact/current product match checked against the source register.
Silentnight Wellbeing Weighted Blanket,/images/products/silentnight-wellbeing-weighted-blanket.webp,silentnight-wellbeing-weighted-blanket.webp,https://www.silentnight.co.uk/silentnight-wellbeing-weighted-blanket-7kg.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,700,700,68708,Silentnight Wellbeing Weighted Blanket product image,Local optimised WebP; exact/current product match checked against the source register.
Simba Orbit Weighted Blanket,/images/products/simba-orbit-weighted-blanket.webp,simba-orbit-weighted-blanket.webp,https://simbasleep.com/products/weighted-blanket,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1003,45846,Simba Orbit Weighted Blanket product image,Local optimised WebP; exact/current product match checked against the source register.
Yogamatters Hemp Buckwheat Zafu Meditation Cushion,/images/products/yogamatters-hemp-buckwheat-zafu-meditation-cushion.webp,yogamatters-hemp-buckwheat-zafu-meditation-cushion.webp,https://www.yogamatters.com/products/yogamatters-hemp-buckwheat-zafu-meditation-cushion,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,699,932,55478,Yogamatters Hemp Buckwheat Zafu Meditation Cushion product image,Local optimised WebP; exact/current product match checked against the source register.
Yogamatters Organic Cotton Chambray Meditation Cushion,/images/products/yogamatters-organic-cotton-chambray-meditation-cushion.webp,yogamatters-organic-cotton-chambray-meditation-cushion.webp,https://www.yogamatters.com/collections/meditation-cushions/productsubcategory-meditation-cushion,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1050,1400,63694,Yogamatters Organic Cotton Chambray Meditation Cushion product image,Local optimised WebP; exact/current product match checked against the source register.
Leewadee Kapok Zafu Cushion,/images/products/leewadee-kapok-zafu-cushion.webp,leewadee-kapok-zafu-cushion.webp,https://www.leewadee.com/uk/product/meditation-cushion-set.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,94112,Leewadee Kapok Zafu Cushion product image,Local optimised WebP; exact/current product match checked against the source register.
Philips Hue Appear Outdoor Wall Light,/images/products/philips-hue-appear-outdoor-wall-light.webp,philips-hue-appear-outdoor-wall-light.webp,https://www.philips-hue.com/en-gb/p/hue-white-and-colour-ambiance-appear-outdoor-wall-light/1746330P7,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,9500,Philips Hue Appear Outdoor Wall Light product image,Local optimised WebP; exact/current product match checked against the source register.
Govee Outdoor UpDown Wall Light,/images/products/govee-outdoor-updown-wall-light.webp,govee-outdoor-updown-wall-light.webp,https://uk.govee.com/collections/outdoor-lights,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,100,100,3112,Govee Outdoor UpDown Wall Light product image,Local optimised WebP; exact/current product match checked against the source register.
Philips Hue Lily Outdoor Spotlight,https://www.assets.signify.com/is/image/Signify/8718696167977-915005629801-PIM-TRN,,https://www.philips-hue.com/en-gb/p/hue-white-and-colour-ambiance-lily-outdoor-spot-light/1741530P7,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Philips Hue Lily Outdoor Spotlight product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Veito Blade S2500 Black Indoor & Outdoor Heater,/images/products/veito-blade-s2500-black-indoor-and-outdoor-heater.webp,veito-blade-s2500-black-indoor-and-outdoor-heater.webp,https://veito.co.uk/product/veito-blade-s2500-black/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,465,465,20816,Veito Blade S2500 Black Indoor & Outdoor Heater product image,Local optimised WebP; exact/current product match checked against the source register.
Outsunny 2kW Wall Mounted Infrared Patio Heater,/images/products/outsunny-2kw-wall-mounted-infrared-patio-heater.webp,outsunny-2kw-wall-mounted-infrared-patio-heater.webp,https://www.aosom.co.uk/item/outsunny-wall-mount-electric-infrared-patio-heater-2-kw-black~842-123V01.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,200,200,11032,Outsunny 2kW Wall Mounted Infrared Patio Heater product image,Local optimised WebP; exact/current product match checked against the source register.
Herschel Colorado 2500W Infrared Patio Heater with Remote and Stand,/images/products/herschel-colorado-2500w-infrared-patio-heater-with-remote-and-stand.webp,herschel-colorado-2500w-infrared-patio-heater-with-remote-and-stand.webp,https://www.herschel-infrared.co.uk/outdoors/colorado-freestanding-infrared-patio-heater/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1200,1200,16758,Herschel Colorado 2500W Infrared Patio Heater with Remote and Stand product image,Local optimised WebP; exact/current product match checked against the source register.
CUKTECH 20 Power Bank 25000mAh 210W,/images/products/cuktech-20-power-bank-25000mah-210w.webp,cuktech-20-power-bank-25000mah-210w.webp,https://cuktech.com/products/p23-cuktech-p-series-25000mah-210w-power-bank,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,132154,CUKTECH 20 Power Bank 25000mAh 210W product image,Local optimised WebP; exact/current product match checked against the source register.
"Anker Nano Power Bank (5K, MagGo, Slim)",/images/products/anker-nano-power-bank-5k-maggo-slim.webp,anker-nano-power-bank-5k-maggo-slim.webp,https://www.anker.com/uk/products/a1665,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,53206,"Anker Nano Power Bank (5K, MagGo, Slim) product image",Local optimised WebP; exact/current product match checked against the source register.
Ugreen Nexode 200W Power Bank,/images/products/ugreen-nexode-200w-power-bank.webp,ugreen-nexode-200w-power-bank.webp,https://uk.ugreen.com/products/ugreen-nexode-power-bank-25000mah-200w,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1080,1080,34158,Ugreen Nexode 200W Power Bank product image,Local optimised WebP; exact/current product match checked against the source register.
hansgrohe Pulsify Select S 105 3jet Hand Shower,/images/products/hansgrohe-pulsify-select-s-105-3jet-hand-shower.webp,hansgrohe-pulsify-select-s-105-3jet-hand-shower.webp,https://www.hansgrohe.co.uk/articledetail-pulsify-select-s-hand-shower-105-3jet-activation-ecosmart-24101000,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,599,680,31982,hansgrohe Pulsify Select S 105 3jet Hand Shower product image,Local optimised WebP; exact/current product match checked against the source register.
Mira Beat Single Spray Showerhead 90mm,/images/product-illustrations/shower-heads-2.svg,shower-heads-2.svg,https://www.mirashowers.co.uk/p/parts-and-accessories/shop-showerheads/mira-beat-single-spray-showerhead-21703009,Existing neutral category illustration — temporary,No unrelated product photograph substituted where an exact manufacturer asset could not be safely materialised.,Site-owned existing asset,2026-08-18,,,,Mira Beat Single Spray Showerhead 90mm product image,Replace with exact manufacturer product photography. This is deliberately labelled on-page.
Methven Aurajet Aio Handset,/images/products/methven-aurajet-aio-handset.webp,methven-aurajet-aio-handset.webp,https://uk.methven.com/aio-aurajet-shower-handset-chrome,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,120,120,1568,Methven Aurajet Aio Handset product image,Local optimised WebP; exact/current product match checked against the source register.
Himalayan Bazaar Hand Hammered Singing Bowl Set,/images/product-illustrations/singing-bowls-1.svg,singing-bowls-1.svg,https://www.himalayanbazaar.com/collections/singing-bowl,Existing neutral category illustration — temporary,No unrelated product photograph substituted where an exact manufacturer asset could not be safely materialised.,Site-owned existing asset,2026-08-18,,,,Himalayan Bazaar Hand Hammered Singing Bowl Set product image,Replace with exact manufacturer product photography. This is deliberately labelled on-page.
Ohm Store Tibetan Singing Bowl Set,/images/products/ohm-store-tibetan-singing-bowl-set.webp,ohm-store-tibetan-singing-bowl-set.webp,https://www.theohmstore.co/collections/singing-bowls,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,97814,Ohm Store Tibetan Singing Bowl Set product image,Local optimised WebP; exact/current product match checked against the source register.
Peter Hess Therapy Singing Bowl,/images/products/peter-hess-therapy-singing-bowl.webp,peter-hess-therapy-singing-bowl.webp,https://www.hess-sound.de/en/collections/therapy-singing-bowls,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,533,352,6130,Peter Hess Therapy Singing Bowl product image,Local optimised WebP; exact/current product match checked against the source register.
Technics EAH-AZ100,/images/products/technics-eah-az100.webp,technics-eah-az100.webp,https://www.technics.com/uk/products/headphones/eah-az100.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,644,644,34922,Technics EAH-AZ100 product image,Local optimised WebP; exact/current product match checked against the source register.
Nothing Ear (3a),/images/products/nothing-ear-3a.webp,nothing-ear-3a.webp,https://support.nothing.tech/hc/en-us/categories/47340233372561-Nothing-Ear-3a,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1080,1080,41818,Nothing Ear (3a) product image,Local optimised WebP; exact/current product match checked against the source register.
Bose QuietComfort Ultra Earbuds 2nd Gen,https://assets.bosecreative.com/transform/bb7b1552-1001-446f-bfd5-f7e2c4ee31ee/QCUEII_DeepPlum_Ecomm-Gallery-1-1634x1224?format=avif&io=width%3A816%2Cheight%3A667%2Ctransform%3Afit&quality=95,,https://www.bose.co.uk/p/earbuds/bose-quietcomfort-ultra-earbuds-2nd-gen/QCUE2-HEADPHONEIN.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Bose QuietComfort Ultra Earbuds 2nd Gen product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
lululemon The Mat 5mm Made With FSC™ Certified Rubber,/images/products/lululemon-the-mat-5mm-made-with-fsc-certified-rubber.webp,lululemon-the-mat-5mm-made-with-fsc-certified-rubber.webp,https://www.lululemon.co.uk/en-gb/p/the-mat-5mm-made-with-fsc%E2%84%A2-certified-rubber/prod10990033.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,667,800,11924,lululemon The Mat 5mm Made With FSC™ Certified Rubber product image,Local optimised WebP; exact/current product match checked against the source register.
